mint,symbol,name,creator_wallet,risk_level,token_score,creator_score,combined_score,initial_market_cap_usd,launched_at
3kweModd16KptgWCDs186w8onRnDNCUyEjp8mxfAw2PA,UNKNOWN,Unknown,9AiXyDfy6cKieVPgwyfsNS37HypoS8k7ju2CV3WnyvZG,HIGH,55,50,43,0,2026-05-31 18:28:52
1zG64zr1Hs6MKJBENVUUpknbvR55f9AUchUug5TMSf,UNKNOWN,Unknown,DnUkYsyeEmLtbPBTevhv7KUxBzZj89ZDAzsRKTpcgtCB,HIGH,55,50,43,0,2026-05-31 18:28:48
7ZzqfaLpmapo9x3uBPaCdwqxBJcv6VKqQfKCJxUk8hLj,UNKNOWN,Unknown,bwamJzztZsepfkteWRChggmXuiiCQvpLqPietdNfSXa,HIGH,55,50,43,0,2026-05-31 18:28:43
4o2f5rMJk893YoQDaQPFS4FcVbHabx9oiSECRNi8pump,UNKNOWN,Unknown,7GsNmZKY7LvjC878No73NBeZmmkfKEyWSkKQXR8YbvwP,HIGH,55,50,43,0,2026-05-31 18:28:39
DmFVaCnSjh44ZQ7qFDL3CZacX3VCf84hd46FAw6Cpump,UNKNOWN,Unknown,BJhdsY6myeMj6keSxKdqZbR4VrGwGydbRSezSmX7tHUQ,HIGH,55,50,43,0,2026-05-31 18:28:39
8McNmJT6qNaQtSyabLcu6EYYmMjdJAs7oaPUcVGkpump,UNKNOWN,Unknown,BnSJys7v985tCpKBa1vAD1Vy24JqJ6J9fAabUjfm8Tya,HIGH,55,50,43,0,2026-05-31 18:28:35
HgUMVVmnSeaFttiuaQe9HJWLtG8EBW9hRJ8UGqLQpump,UNKNOWN,Unknown,EWLVbzvyEhh5m9WEsUtPoLCLxn5QonaZYqN5rL2L6Qef,HIGH,55,50,43,0,2026-05-31 18:28:31
3JVfi2Ub7ah7T3ziUFzRnos8DETAbeYTYzCiWKzepump,UNKNOWN,Unknown,CZ7qKCqNKo6N3R2P4kQMTGJRABJHb3BdNDpQt1vCmYSR,HIGH,55,50,43,0,2026-05-31 18:28:09
8sRGpXFEuVhne78pViEVpTu7QescivMmMoAtTbw5pump,UNKNOWN,Unknown,4n6XhGZV4itbUwg6yU7xWTqmtH3mzAuQBBD7KK8LFn5s,HIGH,55,50,43,0,2026-05-31 18:28:01
5e4Rxa8jDunCsCmdTGbfBRtaLugvae4gFCs47yGDpump,UNKNOWN,Unknown,8sZCezS3SpzL4GCD9FNkYswUaJm3YkScusKSuUetBz4F,HIGH,55,50,43,0,2026-05-31 18:27:48
7nHDV3r6fe8BCht2G34THPuF6yWt5LMBnxoJ7iJcpump,UNKNOWN,Unknown,CNz1PCbnpcT2jox3yR2qBKNwbPJTqHeg8fGptKoDu5pz,HIGH,55,50,43,0,2026-05-31 18:27:47
AcqmZCtb3XPmQknvYxfyjRZgMWzmDCk4YkVSK5dGpump,UNKNOWN,Unknown,7kGAXsa7n1qN2FuNoJAGmzebmN9KqqLAHcwj7gvoekKk,HIGH,55,50,43,0,2026-05-31 18:27:44
BsXGuTfJNqLUp4snvZeFeVnpeCFgZEWAYnbQkMi61VkP,UNKNOWN,Unknown,BCuAu2fiJUX9UoREdobaecaAgcUGULm9X5a13r6ducwT,HIGH,55,50,43,0,2026-05-31 18:27:40
5vJRiAMsPLc3zYf4XBq4HPfDrNEMAYXWSLZfXpZCpump,UNKNOWN,Unknown,DSxRmHd6Q4VcDgU6BhTpeXLAwGL7kbLQ5ZFSgaJuuaZC,HIGH,55,50,43,0,2026-05-31 18:27:34
